cv,mean,std,min,max,iqr,entropy,spear_energy,spear_cage,spear_trpcage_like
c_heavy_s4_r012_b6,0.31032215775229643,0.11775868664682022,0.0220364108681678,0.6535070538520813,0.1706859022378922,0.9071261274082287,-0.18446498338338183,0.551123579628454,
c_heavy_s4_r014_b3,0.45176807038651295,0.15298867941958302,0.0708223208785057,0.835724413394928,0.22825726866722107,0.9254721736049745,-0.17466961608348014,0.5603512419778686,
c_bb_s4_r04.5_b6,0.003919242844473341,0.004452808671554663,0.0,0.0394043065607547,0.0049691679887474,0.5695410824792257,-0.20479988082933698,0.2346718331323691,
c_bb_s4_r06_b6,0.022932295864196595,0.018299987240411854,0.0,0.1322006583213806,0.023835780564695545,0.7380637988398348,-0.1889789642005661,0.28712348014448186,
c_bb_s4_r08_b3,0.09912304528664542,0.05323865517065257,2.3094607968232594e-05,0.3181771636009216,0.07562149129807946,0.8615668731892672,-0.1862667041926467,0.3755192264250265,
c_bb_s4_r08_b6,0.09693035732459714,0.05301402284488179,1.1920928955078125e-07,0.317889928817749,0.07516915537416935,0.8587565194252476,-0.18610131551382775,0.3692678035581038,
c_bb_s4_r010_b3,0.23334763857024188,0.10189610252290267,0.0039258119650185,0.5699328780174255,0.14466310292482376,0.8948969706815642,-0.17622328941515783,0.4513930938052018,
c_bb_s4_r012_b1.5,0.39075556927619204,0.14511932034122652,0.0345960780978202,0.8175783157348633,0.2033900767564773,0.9045329670587062,-0.16730174492450456,0.49717561896177703,
c_bb_s4_r012_b3,0.3920910518352836,0.14811582952036495,0.0302663557231426,0.8330104947090149,0.2073774933815003,0.9035928652309474,-0.1667035480344265,0.49554393277362035,
c_bb_s4_r06_b1.5,0.03174057076361755,0.02075448049100362,2.910503644670825e-05,0.1420942544937133,0.0278702462092042,0.7934978455077604,-0.19146529897155645,0.3280580666837654,
c_bb_s4_r06_b3,0.024737042031048668,0.01877298325566169,5.8111790934844976e-08,0.1338442414999008,0.024604035075753906,0.7533731221985498,-0.18997581485160264,0.29664819127993414,
c_bb_s4_r08_b1.5,0.10717439913961678,0.05425290396633051,0.0005603043828159,0.321101576089859,0.07738437503576279,0.8695552870663857,-0.18644996509168235,0.3953352907865934,
c_bb_s4_r010_b1.5,0.2366835328231529,0.1005509288046288,0.007059627212584,0.5637308359146118,0.14218913018703463,0.8955408270719067,-0.17684362526608838,0.458595750846324,
c_bb_s4_r010_b6,0.23252653154402939,0.10235744706301736,0.0030440115369856,0.5745123624801636,0.14539251476526266,0.8930914511055813,-0.17599037709263002,0.4492677903101244,
c_bb_s4_r012_b6,0.39249540828857754,0.14895625440191232,0.0285363141447305,0.8362089991569519,0.20811735093593597,0.9036793299099759,-0.16655844397885833,0.49505376156938646,
c_bb_s4_r014_b3,0.5404937099334431,0.17863734904732748,0.0879310593008995,0.9743139743804932,0.2593375891447067,0.9286176336493185,-0.15881214714101743,0.5123181791541298,
c_sch_s4_r04.5_b6,0.004508533473489771,0.0042137302916758585,0.0,0.0307458657771348,0.005561907310038801,0.694873894922818,-0.13835966639185474,0.37909028670150574,
c_sch_s4_r06_b6,0.020030089722832923,0.014464766558941427,0.0,0.0904636457562446,0.01985666994005445,0.8079018268488035,-0.15493380988809147,0.4327860813889133,
c_sch_s4_r08_b3,0.06036043274066547,0.03365683529827939,1.8892300204242929e-06,0.2076892703771591,0.04652691259980195,0.8473692205767159,-0.17565394120933459,0.4919826204401079,
c_sch_s4_r08_b6,0.059247926580576885,0.03345838674134223,3.145600890874789e-09,0.2077118158340454,0.04607843048870561,0.8444890715654549,-0.17413325450898437,0.4876815602330807,
c_sch_s4_r010_b3,0.13200427462659362,0.062054075637434335,0.0004945828113704,0.3823911845684051,0.0866942815482617,0.8593442970062677,-0.18962399140476935,0.5377742285661423,
c_sch_s4_r012_b1.5,0.2442294334397997,0.09790327478303477,0.0156526342034339,0.5585867762565613,0.14150500297546395,0.8975692129496619,-0.19365439673807425,0.5703496166982148,
c_sch_s4_r012_b3,0.24114772070921123,0.09844308911547177,0.0106118191033601,0.5604192018508911,0.14149802923202515,0.8954455417198809,-0.19446289972769554,0.5678264964908349,
c_sch_s4_r06_b1.5,0.023648704446098803,0.015224738225062233,5.721686193282949e-06,0.0986945852637291,0.0211452594958246,0.8148795301677205,-0.16521569331392846,0.4615666975654042,
c_sch_s4_r06_b3,0.020722522990468124,0.014541769979474931,4.907137363119318e-09,0.0928839892148971,0.020068233367055648,0.8059323757620162,-0.15766382380657323,0.44028829369673794,
c_sch_s4_r08_b1.5,0.06472733003735427,0.034556568129592125,0.0001131807875935,0.2120421379804611,0.0478502213954925,0.8534017915111203,-0.1798301441604096,0.5051485163160242,
c_sch_s4_r010_b1.5,0.13706245278328477,0.06271405736410675,0.0018498615827411,0.3783111870288849,0.08785256370902064,0.8683109999269295,-0.19070595535819285,0.5444969193101724,
c_sch_s4_r010_b6,0.13066567496760786,0.0619059148620747,0.0002823348622769,0.385313868522644,0.08604834228754044,0.8560632597982833,-0.18927809542307664,0.5356355372669813,
c_sch_s4_r012_b6,0.24036909422060002,0.09863711936405861,0.0088824992999434,0.5623162984848022,0.14161422103643417,0.8937270802280525,-0.19492646785161666,0.5669501359800405,
c_sch_s4_r014_b3,0.3731029732179258,0.13387345699419945,0.0587052777409553,0.7694112658500671,0.19963496923446655,0.9101738509034125,-0.18897695298620376,0.5813967819056016,
