cv,family,mean,std,median,IQR,p05,p95,span_01_99,entropy,BC,nw_k1200
cresb_sca_s4_r012_b1.5,contact resbal,0.47544378614778793,0.18655520023259178,0.4885932327765557,0.266881446798769,0.14045521735512637,0.7603097617419805,0.7932835870927408,0.9223251269501652,0.4266585140868416,23
c_heavy_s2_r010_b6,contact,0.522591423753053,0.11777268159891764,0.5324311852455139,0.17835256457328796,0.3184868961572647,0.7006892323493957,0.48360906183719643,0.9221962483855081,0.456291771012601,14
c_heavy_s2_r010_b1.5,contact,0.5175315326384435,0.11289378460063286,0.5278990268707275,0.17018277943134308,0.31968926191329955,0.6861218810081482,0.46445986926555627,0.9221458359360402,0.45957412793073693,13
c_sch_s3_r012_b1.5,contact,0.475812504329966,0.17032331684085178,0.4741517007350921,0.25882659852504736,0.20619703531265254,0.7624375104904175,0.7085672760009765,0.9219971435267547,0.4354190538845908,21
c_heavy_s2_r010_b3,contact,0.5214897054334472,0.11671811621601741,0.5315861105918884,0.17651954293251038,0.318802472949028,0.6976604700088501,0.47926448464393606,0.9218808162178852,0.4571185207564682,14
c_sch_s2_r012_b3,contact,0.5411671844249429,0.1514822555435299,0.5389466881752014,0.23013308644294744,0.3018405675888061,0.7989666581153869,0.6304884526133536,0.921690042047478,0.436147005855102,18
cresb_heavy_s4_r08_b6,contact resbal,0.1912321468614111,0.1177888388610172,0.1880676574164742,0.18672844663647734,0.014770171238690124,0.3911092805794726,0.4536155900439202,0.9212644544072147,0.48288853757431605,13
c_heavy_s4_r08_b1.5,contact,0.18253464988223594,0.10905976111807245,0.1769758909940719,0.169453963637352,0.02119693867862222,0.3696240514516831,0.42670574611052864,0.9211138678104854,0.4771615104099294,12
c_bb_s2_r08_b6,contact,0.4659290242211787,0.1286761140794521,0.4646885097026825,0.1972101926803589,0.26158853769302365,0.676101976633072,0.5180826732516288,0.9210617399766606,0.449740379793237,15
c_sch_s2_r012_b1.5,contact,0.5388065018611273,0.14604267600651108,0.5373985171318054,0.2218242883682251,0.3061097294092178,0.7861721038818359,0.6085710626840591,0.9208912091705255,0.43340507977221426,18
c_sch_s2_r012_b6,contact,0.5416836903809502,0.15312428660234065,0.5392326712608337,0.2325316220521927,0.30053617954254147,0.8027984559535981,0.6369205978512763,0.920253046200117,0.4369676613764991,19
c_heavy_s3_r010_b3,contact,0.4302931241702267,0.14526487541574884,0.4414716064929962,0.2205678373575211,0.17824839651584623,0.6494166970252991,0.5922533056139945,0.9201158163452008,0.45863876105249457,17
c_ca_s2_r08_b1.5,contact,0.4469751900723623,0.11426544636065131,0.4488152861595154,0.1734044849872589,0.2599338561296463,0.634739375114441,0.45682493716478356,0.9198013553316216,0.4479418452625884,13
c_sch_s3_r012_b3,contact,0.4754670167321192,0.17662730400762547,0.472635269165039,0.26884573698043823,0.19735279083251944,0.7750992476940155,0.7323239782452584,0.9197881181552281,0.4380723050572142,21
c_heavy_s3_r08_b3,contact,0.21951539483336316,0.09787215216657125,0.2201965004205703,0.14706536382436758,0.061955564841627994,0.3783593356609344,0.40213288404047487,0.9197612783603748,0.4351764717939723,12
c_heavy_s3_r08_b6,contact,0.217240123104487,0.09842034915117903,0.2172541618347168,0.14775152504444125,0.059764892980456286,0.3778590053319931,0.4052843306958674,0.9191167688100974,0.4354894519525652,12
c_bb_s4_r08_b6,contact,0.25680138915080386,0.17755388255942903,0.2392984181642532,0.28351088240742683,0.009845010936260215,0.5678624272346496,0.6723158482377768,0.918742723838173,0.5110755178766114,20
cresb_bb_s4_r08_b6,contact resbal,0.2568013893194529,0.17755388221493462,0.2392984278322685,0.2835108628053041,0.009845011362007635,0.5678624281216236,0.6723158463197095,0.918742723838173,0.5110755189876398,20
c_heavy_s2_r012_b6,contact,0.7077532486949379,0.13049362625380906,0.7286280989646912,0.1947658360004425,0.46426889002323146,0.8849924802780151,0.5245891314744949,0.9161338597911229,0.5166819310336976,15
c_heavy_s2_r012_b3,contact,0.7059548947819217,0.12936397119103338,0.726593017578125,0.19290295243263245,0.4646380335092545,0.8813075006008149,0.5208368557691573,0.9161248195829307,0.5169826065790083,15
c_heavy_s2_r08_b3,contact,0.3072211647831771,0.08031935943203666,0.3087379336357116,0.1203666478395462,0.1752847135066986,0.4359366804361343,0.33479008167982094,0.915821769427103,0.4268001367603004,10
c_heavy_s2_r012_b1.5,contact,0.6988801000890219,0.12528585592923752,0.7195740938186646,0.18619737029075623,0.4637597531080246,0.8678554952144624,0.5068404084444045,0.9157626803897491,0.5177413837697012,15
c_heavy_s2_r08_b6,contact,0.3062078864711977,0.08084279130029333,0.3075721859931946,0.12152304500341418,0.17400687783956523,0.43645519614219663,0.3369879722595215,0.9154770202653161,0.4266240524013787,10
c_heavy_s3_r012_b3,contact,0.6386833584261626,0.16147056203883392,0.6646894812583923,0.2415890395641327,0.3373001843690872,0.8580283105373383,0.6490562671422958,0.9150047931574349,0.5175750858120275,19
