cv,family,mean,std,skew,exkurt,min,p05,median,p95,max,IQR,span_p05_95,span_p01_99,entropy,eff_states,BC,nw_k1200,nw_k250
crat_heavy_s4_n8m14_r08,contact rational,0.23850193947014697,0.11409151598549645,0.15578514260921186,-0.6653931685548544,0.0151949608698487,0.05757288299500941,0.23886690288782114,0.426564273238182,0.5588074922561646,0.17197245731949815,0.3689913902431726,0.4671725424937904,0.9372052055636396,16.570365369401816,0.43787466219960813,13,6
torpca_pc2,torsion PCA,-2.0360350254497858e-07,1.0111775646155914,0.008703141512732118,-0.6235494565861814,-2.5191612,-1.67482741,-0.0237924605,1.6646967849999998,2.4042518,1.47779155,3.339524195,4.192897742999998,0.9361567724085291,16.518402396956553,0.42001868217547644,125,57
crat_heavy_s4_n6m12_r08,contact rational,0.2175143983399467,0.1039311985134383,0.1702192847602005,-0.6531771400123989,0.0146871050819754,0.0533468961715698,0.2176048383116722,0.3900108620524406,0.5111938118934631,0.15618161484599116,0.33666396588087083,0.4277353399805724,0.9361566131501066,16.51839451610139,0.43760099741996294,12,5
c_ca_s2_r08_b3,contact,0.435979140152786,0.11746328462412574,0.18825865536839892,-0.75228161954694,0.2134602218866348,0.2548889189958572,0.43298995494842524,0.6251710683107375,0.7689872980117798,0.18710197508335114,0.37028214931488035,0.47572654560208316,0.9357715843333071,16.499352469472065,0.45972729225678377,14,6
cresb_heavy_s4_r08_b3,contact resbal,0.17608506212228342,0.11355458046629487,0.3758846970339863,-0.6957451151251597,6.935576349255487e-06,0.01166148008229201,0.1679997217593254,0.3737975588001873,0.5041115600016781,0.17829377175211314,0.36213607871789527,0.44382462121063837,0.9355494031740628,16.48837423245809,0.49431475434133404,13,6
c_ca_s3_r08_b3,contact,0.27920077144103905,0.15007002173077835,0.19919750409296924,-0.7490093997705354,0.0005485213478095,0.0471048330888152,0.27497099339962006,0.5214666873216629,0.706520140171051,0.2402914576232434,0.4743618542328477,0.6084304755181074,0.9354508087115372,16.483504902298815,0.4609394024422805,18,8
c_sca_s2_r014_b3,contact,0.7416858245424813,0.12826223871986908,-0.4919655316925296,-0.4688094484728458,0.387303739786148,0.5046113133430481,0.7589509189128876,0.9250791132450105,0.9906254410743712,0.1827213317155838,0.42046779990196237,0.5305318161845207,0.9353317911315598,16.477628841851814,0.4898045330925701,15,7
restorpca_pc2,res-torsion PCA,5.0495422845895446e-17,0.9999085925596953,0.36390807631883026,-0.5704419878913369,-2.069286408236642,-1.4904328396691942,-0.14406074150017756,1.8438449239949661,2.668885345259521,1.4751999295760583,3.3342777636641605,4.08292653950129,0.9348894182441339,16.45580664457439,0.4652286835718576,122,55
crat_heavy_s4_n6m10_r010,contact rational,0.46764399172161436,0.13692566525412866,-0.37496187706855977,-0.5323892264034495,0.1084351614117622,0.2146935991942882,0.48510177433490753,0.6696279466152191,0.7634322643280029,0.19724764674901962,0.45493434742093086,0.5708736807107926,0.9345147760431453,16.437348196567523,0.46137140468564725,17,7
cresb_bb_s4_r012_b3,contact resbal,0.6945471324707798,0.240192795146418,-0.6593946506943339,-0.5868690857817502,0.0620891448287736,0.23636876127372175,0.7519108763496791,0.9851185918608236,0.999893678440934,0.3690728001695658,0.7487498305871019,0.8843429738700036,0.9337335399343405,16.398923631999573,0.5934553672743232,26,12
