variant,metric,checkpoint_index,n_epochs,frac_total,bin,x,F_kcal_mol,P,count
epoch,cv_distance,7,7,0.3556908298894225,24,0.8088002212035159,0.11223494327024319,0.04054727023303539,60888
epoch,cv_distance,7,7,0.3556908298894225,25,0.8409542067907751,0.22258063551135,0.033695852789994984,56111
epoch,cv_distance,7,7,0.3556908298894225,26,0.8731081923780342,0.17270607376062874,0.03663610682922369,59952
epoch,cv_distance,7,7,0.3556908298894225,27,0.9052621779652934,0.053068229708297165,0.044777895474761076,36286
epoch,cv_distance,7,7,0.3556908298894225,28,0.9374161635525524,0.6599899036914416,0.016178207828877134,5939
epoch,cv_distance,7,7,0.3556908298894225,29,0.9695701491398117,3.7170719686185847,9.59162790697965e-05,234
epoch,cv_distance,8,8,0.3556908298894225,0,0.037104567109296716,1.9401067071560696,0.001889661051250036,359
epoch,cv_distance,8,8,0.3556908298894225,1,0.06925855269655586,0.7613535751868088,0.013648588990450692,7853
epoch,cv_distance,8,8,0.3556908298894225,2,0.101412538283815,0.4350595867882021,0.02359326227331719,37749
epoch,cv_distance,8,8,0.3556908298894225,3,0.13356652387107412,0.44480499617821034,0.02321071997453296,63925
epoch,cv_distance,8,8,0.3556908298894225,4,0.16572050945833325,0.4469895913698434,0.023125821410973676,70793
epoch,cv_distance,8,8,0.3556908298894225,5,0.1978744950455924,0.372819967747563,0.026189585050302513,71160
epoch,cv_distance,8,8,0.3556908298894225,6,0.23002848063285153,0.32470594899867256,0.028390886472260197,69009
epoch,cv_distance,8,8,0.3556908298894225,7,0.26218246622011065,0.30951407732691183,0.02912366333404961,66031
epoch,cv_distance,8,8,0.3556908298894225,8,0.2943364518073698,0.29810592825370796,0.029686340620184264,62231
epoch,cv_distance,8,8,0.3556908298894225,9,0.3264904373946289,0.2814662647851438,0.03052659814368971,60693
epoch,cv_distance,8,8,0.3556908298894225,10,0.35864442298188803,0.2397214756869539,0.03274076763899186,60556
epoch,cv_distance,8,8,0.3556908298894225,11,0.39079840856914716,0.1683498036461062,0.03690473084034097,61648
epoch,cv_distance,8,8,0.3556908298894225,12,0.42295239415640634,0.08173368912380097,0.04267569206671675,63470
